timestamps,TP9,AF7,AF8,TP10,Right AUX
1530597965.052,-52.246,-0.977,273.438,-27.344,-685.059
1530597965.056,76.660,40.039,150.879,105.957,-210.449
1530597965.059,100.586,54.199,134.277,126.953,231.934
1530597965.063,-18.555,15.137,229.980,8.301,-56.641
1530597965.067,-65.430,-14.648,267.090,-32.227,82.031
1530597965.071,60.547,29.297,160.156,88.867,144.043
1530597965.075,127.441,69.824,85.449,144.043,718.262
1530597965.079,21.973,29.297,148.438,38.574,658.691
1530597965.083,-68.359,-22.949,214.355,-49.805,-430.664
1530597965.087,14.160,15.625,144.531,40.527,-615.723
1530597965.091,108.398,65.430,51.270,141.113,-16.113
1530597965.095,52.246,33.203,77.637,69.336,21.484
1530597965.099,-57.129,-10.742,169.922,-45.410,-728.516
1530597965.102,-19.531,5.859,163.574,5.371,-528.809
1530597965.106,99.121,52.246,51.270,131.836,41.992
1530597965.110,79.590,28.809,38.086,98.145,-169.434
1530597965.114,-29.785,-9.766,141.602,-17.578,240.723
1530597965.118,-59.082,-0.977,158.691,-13.184,678.223
1530597965.122,61.035,40.039,42.969,99.121,681.152
1530597965.126,97.656,62.500,-1.465,101.074,-174.316
1530597965.130,-27.832,4.883,94.727,-2.930,-371.582
1530597965.134,-74.219,-27.344,164.551,-42.480,280.762
1530597965.138,41.992,22.461,79.102,53.711,-173.828
1530597965.142,114.746,54.199,7.324,121.094,-522.949
1530597965.145,21.484,21.484,77.148,39.551,-83.008
1530597965.149,-71.777,-18.066,171.875,-37.598,79.590
1530597965.153,5.371,13.184,125.488,33.203,-342.285
1530597965.157,99.609,54.199,16.602,114.258,-251.953
1530597965.161,46.875,21.973,55.176,70.312,478.027
1530597965.165,-62.012,-31.250,167.480,-25.879,838.379
1530597965.169,-46.387,-21.484,143.066,-10.742,207.520
1530597965.173,85.938,43.945,33.203,101.074,-191.895
1530597965.177,83.008,42.969,33.691,94.727,-139.160
1530597965.181,-50.781,-15.137,132.324,-19.531,-201.172
1530597965.184,-70.312,-13.184,170.410,-35.645,-486.816
1530597965.188,45.898,37.598,74.707,79.102,-435.059
1530597965.192,86.426,51.758,31.250,116.699,104.004
1530597965.196,-26.367,6.348,110.840,9.277,234.863
1530597965.200,-97.656,-28.809,161.621,-63.965,-502.930
1530597965.204,11.719,15.137,89.355,44.434,-636.719
1530597965.208,98.145,48.340,24.414,131.836,468.262
1530597965.212,12.695,18.066,92.773,46.387,921.387
1530597965.216,-90.820,-13.184,177.246,-56.152,-128.906
1530597965.220,-27.832,11.719,128.906,20.508,-617.676
1530597965.224,78.613,50.781,24.902,127.930,189.941
1530597965.227,45.898,40.039,46.875,78.125,174.316
1530597965.231,-66.406,-6.836,152.344,-33.691,-634.766
1530597965.235,-59.570,-2.930,157.227,-15.137,-617.676
1530597965.239,61.523,43.945,44.434,108.887,300.781
1530597965.243,68.848,42.969,18.066,97.656,-137.207
1530597965.247,-52.734,-5.859,120.605,-22.949,-653.809
1530597965.251,-73.242,-15.137,151.855,-34.180,67.383
1530597965.255,47.852,35.645,66.895,92.285,583.008
1530597965.259,105.957,55.664,33.203,133.789,475.098
1530597965.263,-0.977,7.324,115.234,27.832,34.180
1530597965.266,-82.520,-24.902,195.312,-25.391,-254.883
1530597965.270,20.020,22.949,121.582,78.613,648.926
1530597965.274,88.379,70.801,18.066,117.676,204.102
1530597965.278,19.043,49.316,78.613,32.227,-550.781
1530597965.282,-82.520,0.488,188.965,-57.617,-513.184
1530597965.286,-41.504,17.578,162.598,-1.953,-369.141
1530597965.290,75.195,65.918,55.664,102.051,-169.434
1530597965.294,39.551,53.223,67.871,42.969,-458.984
1530597965.298,-80.078,6.348,199.219,-68.359,-473.145
1530597965.302,-77.148,2.930,222.656,-41.016,338.867
1530597965.306,44.434,52.734,121.094,73.730,677.734
1530597965.309,66.406,57.617,108.887,75.684,178.223
1530597965.313,-41.016,12.695,218.750,-23.438,280.762
1530597965.317,-89.844,3.418,266.113,-50.293,607.422
1530597965.321,27.344,43.945,166.992,46.875,-314.453
1530597965.325,92.285,70.312,114.746,98.145,-359.375
1530597965.329,-8.789,27.832,197.754,11.230,164.062
1530597965.333,-83.984,-16.113,278.320,-68.848,-342.285
1530597965.337,2.441,21.484,222.656,24.902,-749.512
1530597965.341,89.355,58.594,118.164,116.699,-376.953
1530597965.345,28.809,37.109,158.691,54.199,210.449
1530597965.349,-72.266,-4.395,271.973,-54.199,314.941
1530597965.352,-33.691,0.488,245.605,-14.648,-78.125
1530597965.356,82.031,57.129,139.160,107.910,-172.363
1530597965.360,63.965,64.941,152.344,91.797,660.156
1530597965.364,-63.965,8.301,250.488,-34.668,202.148
1530597965.368,-78.125,10.254,271.973,-36.621,-244.141
1530597965.372,43.945,51.758,162.598,80.566,-25.879
1530597965.376,67.383,35.645,119.141,87.891,-48.340
1530597965.380,-41.504,0.977,219.727,-13.184,-625.488
1530597965.384,-79.590,-7.812,288.086,-43.457,-454.102
1530597965.388,26.367,33.203,204.590,61.523,6.836
1530597965.391,96.680,60.059,119.629,122.559,-186.523
1530597965.395,4.395,23.438,189.941,43.457,268.555
1530597965.399,-93.750,-8.301,288.086,-39.551,244.141
1530597965.403,-20.508,24.902,240.723,22.461,245.117
1530597965.407,84.473,72.266,135.254,122.070,728.516
1530597965.411,41.016,41.504,167.969,67.383,-247.070
1530597965.415,-84.961,-27.832,266.113,-57.617,-621.582
1530597965.419,-65.918,-15.625,259.277,-19.043,52.246
1530597965.423,65.430,46.875,150.391,112.793,312.988
1530597965.427,65.430,50.293,139.160,96.191,74.707
1530597965.431,-43.457,12.695,250.977,-20.996,-418.457
1530597965.434,-69.336,-8.301,266.602,-38.574,-21.973
1530597965.438,42.969,33.691,143.555,77.148,62.012
1530597965.442,70.312,57.617,118.164,108.398,264.160
1530597965.446,-40.527,12.207,215.332,0.488,314.453
1530597965.450,-93.750,-19.043,279.297,-45.410,684.570
1530597965.454,-3.418,13.184,192.383,41.992,159.668
1530597965.458,75.684,41.992,97.168,102.051,-507.812
1530597965.462,12.207,20.508,161.133,26.855,-55.664
1530597965.466,-86.914,-8.789,259.277,-55.664,-32.715
1530597965.470,-25.879,14.648,223.633,6.348,-394.043
1530597965.473,92.285,62.500,116.211,106.934,-547.363
1530597965.477,40.039,41.992,130.859,70.801,-114.258
1530597965.481,-76.172,-18.066,240.234,-32.227,329.590
1530597965.485,-60.547,-10.254,244.141,-20.020,18.066
1530597965.489,58.105,45.898,131.348,97.168,266.602
1530597965.493,68.359,46.387,105.469,103.027,730.957
1530597965.497,-47.363,-5.859,206.055,-9.766,716.797
1530597965.501,-86.914,-22.461,249.512,-49.805,-80.078
1530597965.505,23.438,25.391,146.973,58.594,-420.898
1530597965.509,77.637,53.711,87.402,116.699,159.668
1530597965.513,-21.484,15.137,167.480,12.207,-121.094
1530597965.516,-88.379,-20.508,240.723,-54.199,-445.312
1530597965.520,-5.859,13.184,164.551,48.828,-131.836
1530597965.524,80.078,52.246,72.266,131.348,169.922
1530597965.528,17.578,21.484,132.812,48.828,-195.801
1530597965.532,-92.773,-30.762,224.609,-52.734,-360.840
1530597965.536,-33.203,-10.742,187.988,14.648,262.695
1530597965.540,75.684,38.086,81.543,115.234,901.855
1530597965.544,45.410,33.203,96.191,62.988,362.793
1530597965.548,-75.195,-12.207,210.938,-49.316,-589.844
1530597965.552,-74.219,-16.113,207.520,-31.738,-520.020
1530597965.556,56.152,30.273,84.961,99.121,60.547
1530597965.559,72.266,36.133,60.547,99.121,-106.934
1530597965.563,-43.945,-8.789,160.156,-13.184,-445.312
1530597965.567,-83.008,-21.973,202.637,-37.598,-267.090
1530597965.571,31.250,29.785,114.746,71.289,-55.664
1530597965.575,99.121,63.477,71.289,120.605,-276.367
1530597965.579,0.488,19.531,139.160,22.461,-290.527
1530597965.583,-80.078,-18.555,207.031,-47.363,478.516
1530597965.587,3.906,10.742,148.926,37.598,399.902
1530597965.591,91.309,43.945,47.852,112.793,-329.590
1530597965.595,36.133,18.066,83.496,38.086,-68.848
1530597965.598,-77.637,-24.414,193.848,-48.828,415.527
1530597965.602,-54.688,-14.648,174.805,-2.930,21.484
1530597965.606,72.266,43.945,52.246,105.469,-384.277
1530597965.610,66.895,53.711,53.711,89.355,-204.102
1530597965.614,-57.129,-1.953,149.414,-23.438,294.434
1530597965.618,-65.918,-19.043,172.363,-31.250,-166.504
1530597965.622,71.777,39.551,82.520,91.797,-591.309
1530597965.626,98.145,54.199,44.434,104.492,-143.066
1530597965.630,-20.508,-4.395,132.324,-0.977,443.848
1530597965.634,-80.078,-26.855,178.711,-46.387,353.516
1530597965.638,20.020,20.508,87.402,47.852,-68.359
1530597965.641,95.215,61.035,16.602,109.863,-130.859
1530597965.645,12.695,28.809,85.938,39.062,717.773
1530597965.649,-74.707,-23.438,175.293,-49.316,98.633
1530597965.653,-7.812,7.324,122.070,17.578,-473.145
1530597965.657,98.145,55.664,21.973,132.324,436.035
1530597965.661,51.758,31.738,55.664,69.336,156.738
1530597965.665,-72.266,-13.672,153.809,-49.316,-573.730
1530597965.669,-51.758,-4.883,125.977,-11.230,-579.590
1530597965.673,77.637,49.316,27.344,114.746,10.742
1530597965.677,62.988,42.969,33.691,101.074,826.172
1530597965.681,-61.523,-9.766,120.605,-22.949,295.410
1530597965.684,-77.148,-7.324,146.484,-42.480,-578.613
1530597965.688,38.574,39.062,51.270,83.496,395.508
1530597965.692,83.008,58.105,4.883,111.816,792.480
1530597965.696,-20.996,12.695,93.750,-3.906,-438.965
1530597965.700,-79.590,-28.809,162.109,-46.387,-454.590
1530597965.704,14.648,11.719,68.359,47.852,296.875
1530597965.708,83.008,55.176,-16.602,108.398,-67.871
1530597965.712,13.672,31.738,44.922,32.227,-98.145
1530597965.716,-86.914,-11.230,135.254,-51.758,72.266
1530597965.720,-33.691,13.184,93.262,17.090,64.453
1530597965.723,79.590,57.129,-9.766,121.582,528.320
1530597965.727,44.922,34.180,11.719,71.777,550.293
1530597965.731,-73.242,-6.348,125.000,-49.316,16.113
1530597965.735,-55.664,8.789,125.488,-18.555,612.793
1530597965.739,66.895,47.363,-0.977,95.703,441.895
1530597965.743,86.426,54.199,-8.301,84.473,-537.109
1530597965.747,-28.809,9.766,97.168,-30.273,-471.191
1530597965.751,-64.941,-5.371,122.559,-48.340,69.336
1530597965.755,47.363,28.809,20.996,62.012,-206.055
1530597965.759,84.473,34.668,-34.668,97.168,-626.953
1530597965.763,-18.066,6.836,55.664,10.742,-267.090
1530597965.766,-94.727,-23.926,128.906,-61.523,70.801
1530597965.770,-6.836,12.695,59.570,34.668,351.562
1530597965.774,84.473,56.152,-18.555,125.977,439.453
1530597965.778,13.672,29.785,22.949,48.340,582.520
1530597965.782,-91.309,-9.277,109.863,-46.875,654.785
1530597965.786,-37.598,3.418,86.426,1.465,-294.922
1530597965.790,87.402,43.457,-10.254,116.211,-278.809
1530597965.794,59.082,31.738,5.859,89.844,321.289
