timestamps,TP9,AF7,AF8,TP10,Right AUX
1530746689.868,24.414,37.598,-41.016,45.898,-125.977
1530746689.872,-81.055,-24.902,98.145,-59.570,40.039
1530746689.876,-52.734,-20.508,113.281,-25.879,-84.961
1530746689.880,60.547,42.969,-24.414,91.309,-54.199
1530746689.884,44.434,51.758,-65.430,75.195,-12.695
1530746689.888,-69.336,-5.859,61.523,-35.156,-125.000
1530746689.892,-79.102,-27.344,129.395,-47.852,20.508
1530746689.895,31.738,31.738,6.836,58.105,-79.590
1530746689.899,68.359,65.430,-78.613,88.379,-116.699
1530746689.903,-26.367,15.625,22.461,-14.160,36.133
1530746689.907,-80.078,-23.438,127.930,-69.336,-89.355
1530746689.911,14.160,22.949,46.875,26.855,-34.668
1530746689.915,83.008,69.824,-77.148,96.680,-14.648
1530746689.919,-2.441,33.203,-20.996,18.066,-121.582
1530746689.923,-96.680,-22.949,113.281,-73.730,29.785
1530746689.927,-38.574,1.953,80.566,-14.160,-82.520
1530746689.931,61.035,62.988,-62.500,84.473,-129.395
1530746689.935,17.578,48.340,-58.594,38.574,37.109
1530746689.938,-93.262,-16.113,82.031,-57.617,-93.750
1530746689.942,-65.918,-18.066,113.281,-29.297,-31.250
1530746689.946,49.316,44.922,-25.391,77.148,-20.508
1530746689.950,46.875,57.617,-78.613,78.125,-143.066
1530746689.954,-60.059,-4.395,46.875,-26.855,29.297
1530746689.958,-88.867,-29.785,128.906,-49.805,-93.262
1530746689.962,16.602,31.250,18.555,61.523,-131.836
1530746689.966,69.824,69.336,-85.449,102.539,44.434
1530746689.970,-25.391,19.043,4.395,2.441,-70.801
1530746689.974,-95.215,-26.367,124.512,-64.941,-26.367
1530746689.977,0.000,18.555,56.641,27.344,-27.344
1530746689.981,87.402,76.660,-75.195,104.980,-129.883
1530746689.985,12.695,42.969,-34.180,28.809,25.391
1530746689.989,-89.355,-20.508,101.562,-64.941,-82.520
1530746689.993,-41.016,-2.441,88.379,-16.113,-108.887
1530746689.997,64.941,62.500,-53.711,83.984,37.598
1530746690.001,38.574,61.035,-70.312,54.688,-79.102
1530746690.005,-69.336,-2.930,67.871,-46.875,-20.508
1530746690.009,-62.012,-15.137,116.699,-36.133,-52.734
1530746690.013,49.805,43.457,-17.090,75.195,-143.066
1530746690.017,65.430,62.500,-86.426,91.797,35.645
1530746690.020,-35.156,7.812,34.668,-7.324,-102.051
1530746690.024,-76.660,-25.391,130.371,-43.457,-100.586
1530746690.028,22.949,26.367,29.297,58.594,32.715
1530746690.032,86.426,67.383,-83.008,113.770,-107.422
1530746690.036,-8.789,22.949,-6.348,18.066,-11.230
1530746690.040,-93.262,-27.832,120.117,-63.477,-51.758
1530746690.044,-11.719,6.836,68.848,24.902,-142.090
1530746690.048,77.148,63.477,-67.871,112.305,45.410
1530746690.052,8.789,38.086,-44.434,46.387,-83.984
1530746690.056,-96.680,-25.879,94.727,-51.758,-103.027
1530746690.060,-53.711,-16.113,98.145,-15.625,26.855
1530746690.063,57.617,47.852,-41.992,90.820,-108.398
1530746690.067,38.574,51.758,-72.754,69.336,-9.277
1530746690.071,-70.801,-5.371,59.082,-42.969,-49.805
1530746690.075,-72.754,-19.043,119.629,-46.387,-151.855
1530746690.079,41.992,43.945,-5.371,62.500,38.574
1530746690.083,68.848,69.824,-88.867,79.102,-94.238
1530746690.087,-35.156,17.578,18.066,-21.973,-99.121
1530746690.091,-83.984,-20.996,124.512,-64.941,14.648
1530746690.095,17.578,22.461,34.668,34.180,-108.398
1530746690.099,83.984,67.871,-86.426,96.680,4.883
1530746690.102,-4.395,29.297,-19.043,13.184,-63.965
1530746690.106,-87.402,-25.391,116.699,-63.965,-148.438
1530746690.110,-16.113,1.465,75.195,6.348,35.156
1530746690.114,80.078,58.594,-67.383,102.051,-83.496
1530746690.118,28.809,39.062,-53.711,53.711,-73.242
1530746690.122,-83.496,-25.391,85.938,-51.270,10.742
1530746690.126,-53.711,-22.461,107.910,-19.043,-106.445
1530746690.130,57.129,42.480,-32.227,91.797,11.230
